S23A	1:50:43	2014-12-27	2014	2014_Q4	4	S0021 S0032 S0094 S0095	Speakers' home	Close family, partners, very close friends	Computer programming, food, wine, temperature, saunas, opening presents	Catching up with family over food and presents	Discussing, explaining, anecdote telling	Revised	n	T15
S24A	0:17:24	2014-09-12	2014	2014_Q3	2	S0261 S0262	Modern Art Museum, London	Close family, partners, very close friends	The art	A couple discussing modern art at a museum	Discussing, explaining, inquiring	Revised	y	T09
S24D	0:20:00	2016-01-14	2016	2016_Q1	3	S0653 S0654 S0655	Home kitchen, Comberton	Close family, partners, very close friends	Lego Ninjago, Minecraft worlds	Spending time on electronic toys instead of reading	Discusing, explaining	Revised	n	T18
S24E	0:45:53	2015-09-15	2015	2015_Q3	3	S0519 S0520 S0521	Hunsonby, Cumbria	Close family, partners, very close friends	food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy	Midweek family dinner	Discussing, explaining, Inquiring, advising, annecdote telling, making arrangements	Revised	n	T09
S263	2:00:00	2016-02-07	2016	2016_Q1	4	S0588 S0589 S0590 S0616	ANON’s home	Close family, partners, very close friends			Discussing, explaining	Revised	n	T10
S26N	1:48:08	2015-05-12	2015	2015_Q2	3	S0012 S0013 S0152	Speaker's home	Close family, partners, very close friends	School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs	Back from Cornwall	Discussing, Explaining, Announcing	Revised	n	T09
S27D	0:32:10	2012-03-06	2012	2012_Q1	2	S0024 S0144	The Swan pub, Norfolk	Close family, partners, very close friends	Health, politics, finance, TV	Husband and wife discuss some issues over a drink.	Discussing, explaining, complaining	Original	y	T11
S28F	1:59:33	2014-10-01	2014	2014_Q4	2	S0255 S0315	Beauty treatment room	Friends, wider family circle	Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki 	chatting with beautician who is a casual friend whilst having reflexology	Discussing, explaining, advising, requesting, making arrangements	Revised	n	T11
S29Q	0:21:34	2015-12-10	2015	2015_Q4	4	S0402 S0405 S0554 S0555	Chinese restaurant, Slough	Friends, wider family circle	Food, family, friends, diet, comics, school	Friends chattings about school life and friends over a snack	Discussing, explaining, complaining, anecdote telling, telling jokes	Revised	n	T09
S29X	0:15:25	2016-01-08	2016	2016_Q1	2	S0486 S0642	The recording was made in the CICIC Art’s Centre in Taunton Somerset	Friends, wider family circle	Art course running at the time, plus old issues concerning old college.	Talking about opportunities for art in Taunton.	Discussing, explaining, inquiring, anecdote telling	Revised	n	T04
