speaker,tokens
S0192,362107
S0012,277953
S0084,276558
S0041,208025
S0439,205049
S0024,181562
S0262,169739
S0198,164818
S0525,158605
S0653,157667
S0517,148776
S0058,144725
S0144,144222
S0008,139888
S0454,136947
S0255,130992
S0152,128107
S0013,127773
S0202,117720
S0115,111897
S0037,108664
S0018,107906
S0278,106913
S0336,97971
S0618,97580
S0179,96053
S0326,95797
S0417,88938
S0529,87846
S0619,81316
S0227,81006
S0328,77855
S0558,74981
S0588,74889
S0530,74687
S0493,69465
S0579,69102
S0208,63967
S0392,63623
S0261,62528
S0654,61719
S0405,61635
S0282,61133
S0655,60570
S0104,56732
S0167,56570
S0423,54877
S0520,53568
S0590,52818
S0441,52726
S0199,52249
S0421,52213
S0589,51706
S0416,49647
S0086,49319
S0337,48809
S0281,46366
S0475,46227
S0325,45925
S0083,44214
S0687,44079
S0253,44002
S0330,43009
S0510,41217
S0257,41046
S0238,40385
S0391,40040
S0369,39869
S0492,39808
S0428,37612
S0320,37234
S0585,37108
S0519,37097
S0518,37083
S0486,36836
S0235,36352
S0331,36000
S0509,35878
S0256,35547
S0555,35193
S0511,34230
S0440,33087
S0329,32818
S0689,32809
S0251,32725
S0592,32602
S0623,32525
S0688,32479
S0444,31229
S0543,30437
UNKMALE,30316
S0587,29768
S0015,29651
S0252,29362
S0632,28815
S0571,28656
S0432,28627
S0324,28467
S0327,28127
UNKFEMALE,28108
S0615,27629
S0455,27321
S0456,27150
S0556,27148
S0415,26941
S0607,26372
S0617,26363
S0603,25704
S0598,24986
S0190,24564
S0246,23793
S0604,23612
S0019,23328
S0230,23145
S0082,22995
S0254,22832
S0680,22786
S0450,22617
S0229,21996
S0370,21899
S0541,21737
S0180,21640
S0561,21441
S0679,21378
S0644,21202
S0338,20909
S0481,20051
S0453,19928
S0203,19895
S0393,19711
S0671,19686
S0383,19409
S0390,19073
S0382,18905
S0344,18377
S0427,18194
S0070,18168
S0402,18137
S0146,18077
S0542,18038
S0189,18023
S0544,17833
S0339,17811
S0266,17787
S0355,17627
S0303,17420
S0046,17404
S0482,17116
S0197,17059
S0602,16807
S0663,16585
S0624,16348
S0605,16319
S0622,16250
S0135,16145
S0236,15999
S0060,15944
S0483,15901
S0299,15774
S0315,15766
S0154,15715
S0120,15668
S0259,15354
S0597,15218
S0594,15197
S0353,15133
S0241,15117
S0368,15084
S0424,15083
S0228,15015
S0211,14901
S0523,14842
S0142,14811
S0641,14781
S0322,14694
S0570,14675
S0275,14643
S0187,14558
S0093,14482
S0540,14445
S0220,14393
S0049,14159
S0268,14070
S0521,14050
S0316,13776
S0419,13633
S0497,13572
S0026,13449
S0564,13410
S0466,13373
S0249,13219
S0538,13098
S0170,12958
S0616,12863
S0584,12844
S0131,12671
S0476,12536
S0451,12435
S0193,12395
S0204,12326
S0426,12218
S0690,12021
S0554,12000
S0662,11996
S0666,11979
S0319,11859
S0194,11835
S0245,11625
S0670,11569
S0572,11567
S0613,11535
S0635,11440
S0480,11382
S0222,11380
S0007,11276
S0362,11261
S0289,11230
S0036,11169
S0397,11168
S0092,11098
S0596,11092
S0264,11066
S0443,11062
S0216,11012
S0196,10981
S0094,10851
S0300,10692
S0612,10599
S0614,10338
S0162,10286
S0206,10286
S0485,10178
S0381,10164
S0276,10038
S0271,9912
S0549,9841
S0269,9767
S0354,9698
S0411,9687
S0335,9651
S0047,9569
S0346,9499
S0645,9498
S0372,9479
S0173,9440
S0651,9273
S0221,9056
S0436,9037
S0567,9033
S0207,8995
S0583,8832
S0560,8816
S0274,8796
S0435,8792
S0258,8776
S0123,8757
S0234,8678
S0352,8670
S0240,8597
S0074,8582
S0309,8574
S0002,8535
S0233,8446
S0153,8406
S0627,8380
S0110,8362
S0270,8352
S0239,8275
S0293,8240
S0021,8209
S0109,8152
S0363,8120
S0566,8065
S0539,8005
S0610,7960
S0272,7918
S0638,7907
S0237,7875
S0631,7867
S0652,7792
S0171,7720
S0318,7704
S0205,7688
S0420,7682
S0297,7657
S0375,7645
S0593,7632
S0496,7629
S0231,7613
S0515,7547
S0314,7481
S0580,7440
S0494,7420
S0017,7377
S0343,7374
S0650,7348
S0513,7264
S0611,7246
S0448,7241
S0050,7233
S0283,7217
S0489,7204
S0022,7163
S0661,7098
S0668,7084
