text_id,u_n,u_who,text
S2FQ,55,S0261,it is not crass in any sense
S2FQ,36,S0262,yeah that's really big and he looked like that
S2FQ,218,S0262,yeah
S2FQ,190,S0262,yeah 
S2FQ,170,S0262,yeah but also 
S2FQ,156,S0262,that's the topic
S2FQ,37,S0261,mm
S2FQ,144,S0262,yeah you do but I think you know you've got to talk to the right people and suss out your ideas a bit more as well because like honestly it hadn't occurred to me until today and it obviously had to you but you hadn't discussed it with me
S2FQ,39,S0261,mm
S2FQ,99,S0261,what is it that you like? 
S2FQ,129,S0261,and so they had that problem and so they sent out another another way of doing it and after three weeks they actually got to their target market which were er business women yeah who would be paying two hundred bucks for a pair of shoes 
S2FQ,50,S0262,yeah
S2FQ,154,S0262,the topic I think I understand though the question is one thing but the topic is another and it is true like what 
S2FQ,198,S0262,mm
S2FQ,54,S0262,no
S2FQ,172,S0262,alright but what I am interested in is the topic that it is the mix of the people 
S2FQ,178,S0262,mm
S2FQ,15,S0261,okay let's just for example say talk let's say car mechanics okay just for the sake of it and you've got erm Johnny who's just left school and he wants to be a car mechanic and he's got an interest and he's been doing some stuff himself and he has a problem 
S2FQ,180,S0262,mm mm
S2FQ,69,S0261,and so if if you can pin this together in such a way that there is a real community that's meeting
S2FQ,184,S0262,yeah but it's fudging it
S2FQ,183,S0261,so they are not miles ahead they are not angel investors they are not 
S2FQ,14,S0262,mm 
S2FQ,166,S0262,which is what 
S2FQ,65,S0261,so do you think they are going to pick up on threads like erm 
S2FQ,194,S0262,no 
S2FQ,60,S0262,mm
S2FQ,150,S0262,so from what we put on the board I was running with this very general kind of sense of things
S2FQ,33,S0261,now we find a a synonym for solving yeah
S2FQ,169,S0261,we don't have we don't have we don't intrinsically have a track record that is enough to speak with authority
S2FQ,8,S0262,yeah but what?  what should we start with? I mean what's the sort of thing that's going to be the most compelling?
S2FQ,197,S0261,but you get the point erm these communities er er are quite disparate there are several groups
S2FQ,242,S0262,I don't have the time lady
S2FQ,57,S0261,it is supposed to be educational and and if people don't get the sense of 
S2FQ,89,S0261,yeah it is already behind the times
S2FQ,139,S0261,they they have a different enough idea that it is disruptive to an existing industry
S2FQ,48,S0262,yeah
S2FQ,152,S0262,yeah but I think you will get
S2FQ,126,S0262,wow
S2FQ,231,S0261,mm
S2FQ,94,S0262,well yeah but nowadays we can have quite a lot of you know immediate publishing you know in terms of news 
S2FQ,51,S0261,where either the storyline is defined by some outside source or the likes of Big Brother where people vote on who survives and who doesn't
S2FQ,137,S0261,and the reason why it is is because there are enough 
S2FQ,31,S0261,so it's it's crowd solving
S2FQ,113,S0261,mm
S2FQ,204,S0262,well that's alright that's a networking session I don't mind that it is not a learning session though
S2FQ,217,S0261,but we are moving into a society where everybody is expected to be more open and transparent
S2FQ,131,S0261,so that just shows through using a different mechanism how and and there's nothing complicated about what they've done 
S2FQ,79,S0262,and they all 
S2FQ,19,S0261,no no no I am not I am just all I've I am not talking about finding a job all I'm doing is using that as an example that that this person wants to go forward in some context in this case I said he wanted to jump forward in doing what he is passionate about
S2FQ,216,S0262,it's a bit silly
S2FQ,148,S0262,they are you know not really related to each other
S2FQ,160,S0262,are just questions I asked but the topic is entrepreneurs so I can't really say the topic is university students I would prefer to have something that's got a little bit more bite to it than that
S2FQ,222,S0262,yeah
S2FQ,223,S0261,and the start-up and tech community in 
S2FQ,67,S0261,and what I believe in is that it needs to be balanced
S2FQ,207,S0261,and and then they can see well erm naturally these people get together and do this kind of networking solving problem stuff anyway
S2FQ,92,S0262,yeah
S2FQ,28,S0262,the only reason why I kind of I know what you mean but 
S2FQ,32,S0262,yeah
S2FQ,241,S0261,okay that's there what's the time?
S2FQ,64,S0262,yeah so you've got a couple of academics thrown in 
S2FQ,168,S0262,well what about if we put
S2FQ,119,S0261,and erm that's what intrigued me so much about this 
S2FQ,59,S0261,and and if we can demonstrate to people erm 
S2FQ,220,S0262,yeah
S2FQ,10,S0262,and how much of it has got a kind of teaching not teaching but an educational kind of slant to it? 
S2FQ,112,S0262,so if you are young you are thinking about making a start-up
S2FQ,16,S0262,mm mm
S2FQ,227,S0261,that's what I am seeing
S2FQ,100,S0262,okay that erm 
S2FQ,102,S0262,and validated
S2FQ,125,S0261,right 
S2FQ,211,S0261,and that's why they think it is all special because I'm all part of the team
S2FQ,225,S0261,yeah well that's the way it is kind of working around the around the world erm and I bet that the people who are going forward here now have been watching what's been going on in the US for a long time yeah they simply 
S2FQ,88,S0262,he's kind of got a point because the more I'm thinking about it the more I like it because even the latest research from academics that would be put into a curriculum won't be nearly as up to date oh no no current as some of the things that we would discuss
S2FQ,43,S0261,so what you are trying to demonstrate is er as an outcome of this thing is over a very short period of time you are demonstrating comparative er progress that it is significant progress
S2FQ,95,S0261,yeah but once it is published it is old news
S2FQ,228,S0262,well yeah I mean you know fair enough erm
S2FQ,235,S0261,people will have an interest and try and make something go forward with progress
S2FQ,147,S0261,mm
S2FQ,171,S0261,yeah but what you didn't know until today is is that before he got into that he had built a forty million dollar company when he was twenty-three
S2FQ,5,S0261,er however that might be formed and 
S2FQ,97,S0261,okay so carry on what is it that you like?
S2FQ,73,S0261,and that can have representatives who come from other places who join there and so they become part of a like community
S2FQ,44,S0262,yeah
S2FQ,2,S0262,to do with social storytelling and how to teach someone how to problem solve 
S2FQ,233,S0261,the potential is you're going to get a lot more positive stories out of it because of the nature of it being a start-up
S2FQ,230,S0262,I like it I like it as a topic I think it's it's it's a good way to at least run with something to start with I think we needed to define what we were going to run with
S2FQ,114,S0262,you think maybe I should go to university and study this oh no crap I am not going to study this at university I am going to find another way and this is a complementary way of looking at things
S2FQ,24,S0262,goal
S2FQ,181,S0261,erm that they're still learning but they're a few steps ahead of where other people are going
S2FQ,202,S0262,yeah
S2FQ,46,S0262,mm
S2FQ,101,S0261,mm
S2FQ,25,S0261,the race track
S2FQ,151,S0261,and that's fine as long as you block all of those things under the guise of they're all students
S2FQ,71,S0261,and like some other models that are working around the world at the moment you can set up satellite communities in different places around the world which are doing exactly the same model as you you are that the inputs can be international but the local community base is of the local ilk
S2FQ,82,S0262,so start-ups now what's a definition of a start-up?
S2FQ,3,S0261,okay so one of the key things is about erm ensuring that we operate within a certain niche
